"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/03/18 4:05:56 PM GMT+4","I have read the above information and agree to participate in this research.","Female","58","Non-Arab","Nurse","Maternity ","DHA","Government Hospital","32","20 to 49","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites;Vaccine manufacturers;Social media","Likely","Likely","Unlikely","Very unlikely","Unlikely","Unlikely","Strongly agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Few cases","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Agree","Not sure","No","Neutral","Yes"
"2024/03/18 4:28:42 PM GMT+4","I have read the above information and agree to participate in this research.","Female","45","Other Arab","Nurse","Case mangement","DHA","Government Hospital","23 ","20 to 49","Yes, 3 doses","Yes","Very confident","Somewhat confident","Somewhat confident","I am not keen on information about vaccinations","Likely","Likely","Likely","Likely","Likely","Likely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Hundreds of cases and more","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","Neutral","Yes"
"2024/03/18 5:30:19 PM GMT+4","I have read the above information and agree to participate in this research.","Female","42","Other Arab","Nurse","Opd","DHA","Government Hospital","20","20 to 49","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Social media","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Neutral","None","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Possibility to eradicate disease with vaccination","Not sure","Not sure","Not sure","Not sure","Not sure","Agree","Agree","Agree","Agree","Agree","Yes","Neutral","No"
"2024/03/18 6:14:38 PM GMT+4","I have read the above information and agree to participate in this research.","Female","55","Other Arab","Physician","Family medicine ","DHA","Private Clinic/Hospital","27","50 and above","No","No","Very unconfident","Very unconfident","Very unconfident","Medical experience;Other","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly Disagree","More negative","More positive","Hundreds of cases and more","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","I do not directly deal with pediatric vaccines in my practice","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","No","Not interested at all","No"
"2024/03/18 11:52:12 PM GMT+4","I have read the above information and agree to participate in this research.","Male","26","Other Arab","Surgeon","Ortho ","DHA","Government Hospital","3","50 and above","Yes, 4 doses or more","No","Somewhat unconfident","Very unconfident","Somewhat unconfident","I am not keen on information about vaccinations","I don't know","Likely","Likely","Likely","Likely","Likely","Disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","Disagree","More negative","More negative","None","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Not sure","Disagree","Agree","Agree","Disagree","Agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","No","Not interested at all","No"
"2024/03/18 11:54:50 PM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Emirati","Physician","Intern","DOH/HAAD/SEHA","Private Clinic/Hospital","1","20 to 49","Yes, 4 doses or more","Yes","Very confident","Very confident","Somewhat confident","International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Disagree","Not sure","No","Neutral","Yes"
"2024/03/19 12:56:33 AM GMT+4","I have read the above information and agree to participate in this research.","Female","49","Non-Arab","Dentist","Clinic ","DHA","Private Clinic/Hospital","20","1 to 19","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Colleagues experience and advice","I don't know","I don't know","Very unlikely","Likely","Unlikely","Unlikely","Agree","Agree","Agree","Disagree","Agree","Strongly agree","More positive","More negative","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Not sure","Strongly agree","Agree","Disagree","Agree","No","Not interested at all","Yes"
"2024/03/19 1:08:50 AM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Anesthesia","DOH/HAAD/SEHA","Government Hospital","4","20 to 49","Yes, 3 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Colleagues experience and advice;Experience of family and friends","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Very interested","Yes"
"2024/03/19 1:13:40 AM GMT+4","I have read the above information and agree to participate in this research.","Female","40","Other Arab","Physician","Pediatrics","DHA","Private Clinic/Hospital","10","50 and above","Yes, 4 doses or more","Yes","Very confident","Very confident","Very confident","International guidelines","Very likely","Very likely","Very likely","Very likely","Very likely","Very likely","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","More positive","More negative","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Very interested","Yes"
"2024/03/19 1:47:03 AM GMT+4","I have read the above information and agree to participate in this research.","Female","30","Other Arab","Dentist","Aesthetics","DHA","Private Clinic/Hospital","6","20 to 49","Yes, 4 doses or more","No","Somewhat confident","Very unconfident","Somewhat unconfident","Local guidelines;International guidelines","Unlikely","Very unlikely","I don't know","I don't know","Likely","I don't know","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","More negative","Tens of cases","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Not sure","Not sure","Not sure","Strongly agree","Agree","Agree","Disagree","No","Very interested","Yes"
