"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/08/30 7:30:42 PM GMT+4","I have read the above information and agree to participate in this research.","Male","35 ","Other Arab","Surgeon","Urology ","MOHAP/EHS","Government Hospital","13","50 and above","No","No","Very unconfident","Very unconfident","Somewhat unconfident","I am not keen on information about vaccinations;Journals and medical websites","I don't know","I don't know","Unlikely","I don't know","Likely","I don't know","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","More negative","More negative","Few cases","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","I do not directly deal with pediatric vaccines in my practice;Severity/lethality of the prevented disease;Personal experience with the disease;Vaccine safety","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","No","Not interested at all","Yes"
"2024/09/01 4:40:38 PM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Other Arab","Physician","Pediatrics","DOH/HAAD/SEHA","Government Hospital","1","20 to 49","Yes, 3 doses","No","Very confident","Very confident","Somewhat unconfident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines","Very unlikely","Very unlikely","Very unlikely","Very unlikely","I don't know","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","More positive","More positive","None","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Personal experience with the disease;Vaccine safety;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Very interested","Yes"
"2024/09/03 2:00:43 PM GMT+4","I have read the above information and agree to participate in this research.","Male","58","Emirati","Physician","Urology","DOH/HAAD/SEHA","Government Hospital","30","50 and above","Yes, 4 doses or more","No","Very confident","Very confident","Very confident","Medical experience;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Neutral","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","No","Interested","Yes"
"2024/09/03 2:10:38 PM GMT+4","I have read the above information and agree to participate in this research.","Female","40","Emirati","Physician","Public health ","MOHAP/EHS","Government Hospital","19","1 to 19","Yes, 3 doses","Yes","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites;Vaccine manufacturers","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Neutral","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Yes","Very interested","Yes"
"2024/09/03 2:11:45 PM GMT+4","I have read the above information and agree to participate in this research.","Male","56","Emirati","Physician","Pediatric department ","MOHAP/EHS","Private Clinic/Hospital","28","1 to 19","Yes, 4 doses or more","Yes","Very confident","Very confident","Somewhat confident","International guidelines","Unlikely","Unlikely","Very unlikely","Unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","More positive","Neutral","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","Yes","Not interested at all","Yes"
"2024/09/03 2:12:11 PM GMT+4","I have read the above information and agree to participate in this research.","Male","44","Other Arab","Physician","Surgery","MOHAP/EHS","Government Hospital","2","1 to 19","Yes, 3 doses","No","Very confident","Very confident","Very confident","Medical experience","I don't know","Very likely","Very likely","Likely","Likely","Likely","Strongly agree","Agree","Agree","Agree","Strongly agree","Agree","More positive","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Incidence of disease;Personal experience with the disease;Vaccine safety","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Not sure","Not sure","Yes","Neutral","Maybe"
"2024/09/03 2:12:32 PM GMT+4","I have read the above information and agree to participate in this research.","Female","44","Emirati","Senior consultant ","Organ donation ","DHA","DHA","12","1 to 19","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Very confident","Medical experience;Colleagues experience and advice;Experience of family and friends;Local guidelines;International guidelines;Journals and medical websites;Vaccine manufacturers;Social media","Likely","Likely","I don't know","I don't know","I don't know","I don't know","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","More positive","Neutral","None","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Not sure","Not sure","Yes","Very interested","Yes"
"2024/09/03 2:12:55 PM GMT+4","I have read the above information and agree to participate in this research.","Male","41","Other Arab","Nurse","Nursing","MOHAP/EHS","Government Hospital","19","50 and above","Yes, 3 doses","Yes","Very confident","Very confident","Very confident","Medical experience","Very unlikely","Very unlikely","Very unlikely","I don't know","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","More positive","More positive","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Severity/lethality of the prevented disease;Vaccine cost;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes","Very interested","Yes"
"2024/09/03 2:14:45 PM GMT+4","I have read the above information and agree to participate in this research.","Female","36","Other Arab","Pharmacist","Sales","Sgh","Private Clinic/Hospital","14","1 to 19","Yes, 2 doses","No","Somewhat unconfident","Very confident","Very unconfident","Medical experience","Very unlikely","Unlikely","Unlikely","Very likely","Likely","Very unlikely","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","More positive","More positive","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","No","Very interested","Maybe"
"2024/09/03 2:15:30 PM GMT+4","I have read the above information and agree to participate in this research.","Female","36","Emirati","Physician","Forensic Medicine","DHA","Dubai Police","10","1 to 19","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;Journals and medical websites;Vaccine manufacturers","Unlikely","Unlikely","Unlikely","Likely","Likely","Unlikely","Strongly agree","Agree","Disagree","Agree","Agree","Agree","More negative","More negative","Few cases","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","I do not directly deal with pediatric vaccines in my practice","Agree","Agree","Agree","Not sure","Agree","Not sure","Agree","Not sure","Strongly agree","Disagree","No","Neutral","Yes"
