"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/03/27 8:20:02 PM GMT+4","I have read the above information and agree to participate in this research.","Male","24","Other Arab","Physician","Internship doctor","MOHAP/EHS","Government Hospital","0","20 to 49","Yes, 3 doses","Yes","Somewhat confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;International guidelines;Journals and medical websites;Social media","Very unlikely","Very unlikely","Very unlikely","I don't know","Unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","More positive","Neutral","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Interested","Yes"
"2024/03/27 8:20:51 PM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Non-Arab","Physician","Internship ","MOHAP/EHS","Government Hospital","1","50 and above","Yes, 2 doses","No","Very confident","Very confident","Very unconfident","Local guidelines;International guidelines","Very unlikely","I don't know","Very unlikely","I don't know","I don't know","Very unlikely","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Agree","More positive","Neutral","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly disagree","No","Very interested","Yes"
"2024/03/27 8:30:42 PM GMT+4","I have read the above information and agree to participate in this research.","Female","25","Other Arab","Physician","Intern doctor so floating in all","MOHAP/EHS","Government Hospital","0","20 to 49","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Very unconfident","Medical experience;Experience of family and friends;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","I don't know","I don't know","I don't know","Very unlikely","Strongly disagree","Agree","Agree","Strongly agree","Strongly agree","Agree","More positive","More positive","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Not sure","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Interested","Yes"
"2024/03/27 8:32:22 PM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Physician","Intern","DHA","Government Hospital","6.5","50 and above","Yes, 4 doses or more","No","Very confident","Very confident","Very confident","Medical experience;Local guidelines;International guidelines","Unlikely","Very unlikely","Very unlikely","I don't know","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neutral","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Disagree","Disagree","No","Slightly interested","Maybe"
"2024/03/27 8:33:59 PM GMT+4","I have read the above information and agree to participate in this research.","Male","26","Other Arab","Physician","ER","DOH/HAAD/SEHA","Government Hospital","2","50 and above","Yes, 4 doses or more","Yes","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Experience of family and friends;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","I don't know","Likely","Very unlikely","Strongly agree","Agree","Agree","Strongly agree","Agree","Agree","Neutral","More negative","None","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Disagree","Agree","Disagree","Disagree","Yes","Slightly interested","Yes"
"2024/03/27 9:07:14 PM GMT+4","I have read the above information and agree to participate in this research.","Male","25","Other Arab","Physician","Emergency ","MOHAP/EHS","Government Hospital","1","20 to 49","Yes, 4 doses or more","No","Somewhat confident","Somewhat confident","Somewhat confident","Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Unlikely","Unlikely","Unlikely","Unlikely","Unlikely","Very unlikely","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Agree","Disagree","Disagree","No","Neutral","Yes"
"2024/03/27 9:37:10 PM GMT+4","I have read the above information and agree to participate in this research.","Female","24","Other Arab","Physician","Al Qassimi Hospital- intern","MOHAP/EHS","Government Hospital","1","20 to 49","Yes, 3 doses","No","Somewhat confident","Very confident","Somewhat confident","Medical experience;Local guidelines;International guidelines;Journals and medical websites","Unlikely","I don't know","I don't know","I don't know","I don't know","Unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","More positive","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Possibility to eradicate disease with vaccination;Personal experience with the disease;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","No","Interested","Yes"
"2024/03/27 9:37:34 PM GMT+4","I have read the above information and agree to participate in this research.","Male","23","Other Arab","Physician","Internship","MOHAP/EHS","Government Hospital","0","1 to 19","Yes, 3 doses","No","Somewhat confident","Very confident","Somewhat confident","Medical experience","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly Disagree","More positive","More positive","Few cases","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Agree","Strongly disagree","Yes","Very interested","Yes"
"2024/03/27 10:28:33 PM GMT+4","I have read the above information and agree to participate in this research.","Male","23","Other Arab","Dentist","generally ","DOH/HAAD/SEHA","Private Clinic/Hospital","2","1 to 19","Yes, 4 doses or more","No","Somewhat confident","Somewhat unconfident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites;Vaccine manufacturers","I don't know","I don't know","I don't know","I don't know","I don't know","Unlikely","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Few cases","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Severity/lethality of the prevented disease;Incidence of disease;Inclusion of vaccine in the official immunization schedule;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Agree","Not sure","Strongly agree","Agree","Strongly agree","Not sure","Disagree","No","Interested","Maybe"
"2024/03/27 10:47:23 PM GMT+4","I have read the above information and agree to participate in this research.","Male","24","Other Arab","Physician","Internal Medicine","DOH/HAAD/SEHA","Private Clinic/Hospital","1","1 to 19","Yes, 4 doses or more","No","Very confident","Very confident","Very confident","Medical experience;Other","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Neutral","Neutral","Tens of cases","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Severity/lethality of the prevented disease;Inclusion of vaccine in the official immunization schedule;Vaccine cost;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Neutral","No"
