"Timestamp","Please check the box below to proceed to the survey:","Sex","Age","Citizenship","Occupation","Department","Health Authority","Workplace","Total Years of Practice","Number of patients seen in a week","Have you received the COVID-19 vaccine?","Have you received the influenza vaccine last year?","Vaccine usage and efficacy.","Vaccine safety.","Role of adjuvants.","What is your main source of information about vaccines recommendation and their safety?","Influenza Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and  Guillain-Barré syndrome","Hepatitis B Vaccine and Multiple Sclerosis","Aluminum Adjuvants and Alzheimer Disease","Vaccines with Adjuvants and Long-Term Complications","Measles Vaccine and Autism Disorder","Vaccines are an important part of preventive care in my practice.","Giving a strong recommendation for a vaccination impacts my patients' acceptance.","I prefer to wait for broad community experience before recommending new vaccines.","I am responsible for educating parents on vaccines and the diseases they prevent.","Vaccines recommended by the ministry of health are very useful.  ","There is often a lack of time for advising about vaccines.","How have YOUR attitudes to vaccination changed during the COVID-19 pandemic?","How have your PATIENTS' attitudes to vaccination changed during the COVID-19 pandemic?","How many patients in your practice had a vaccine preventable disease (OTHER THAN COVID-19) in the last year?","Diphtheria, Pertussis, Tetanus, (DTaP/Tdap)","Pneumococcus (PCV13)","Meningococcus (MCV4)","Chickenpox (varicella)","Hemophilus Influenza b(Hib)","Tuberculosis (BCG)","Polio (IPV/OPV)","Measles, Mumps, Rubella (MMR)","Hepatitis A","Hepatitis B","Rotavirus","Seasonal influenza vaccine","Human Papillomavirus (HPV9/HPV4)","What are the 5 most important factors to you personally when it comes to recommending a pediatric vaccine? ","Childhood vaccines are important for children's health.","Childhood vaccines are effective.","Having children vaccinated is important for the health of others in the community.","All childhood vaccines offered by the government programme in the community are beneficial.","New vaccines carry more risks than older vaccines.","The information I receive about vaccines from the vaccine program is reliable and trustworthy.","Getting vaccines is a good way to protect children from disease.","Generally, I promote what my health authority/clinical guidelines recommend about vaccines for children.","I am concerned about serious adverse effects of vaccines.","Children does/do not need vaccines for diseases that are not common anymore.","Have you received any training to address vaccine hesitancy among parents?
","How interested would you be in receiving training in techniques that help address and resolve vaccine hesitancy concerns among parents?","Do you believe such training should be part of university education?"
"2024/04/22 11:42:56 PM GMT+4","I have read the above information and agree to participate in this research.","Male","25","Emirati","Physician","Family medicine ","DOH/HAAD/SEHA","Government Hospital","2","20 to 49","Yes, 4 doses or more","Yes","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines","Very unlikely","Very unlikely","Very unlikely","Unlikely","Unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","Neutral","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Yes","Interested","Yes"
"2024/04/25 11:29:07 PM GMT+4","I have read the above information and agree to participate in this research.","Male","25","Other Arab","Physician","General Pediatrics ","DHA","Government Hospital","1","20 to 49","Yes, 3 doses","Yes","Very confident","Very confident","Very confident","Medical experience;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","More positive","More negative","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine effectiveness;Individual health-risk profile of the child","Agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","No","Interested","Yes"
"2024/04/25 11:30:21 PM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Non-Arab","Physician","Pediatrics ","DHA","Government Hospital","3","20 to 49","Yes, 2 doses","No","Somewhat confident","Somewhat confident","Somewhat unconfident","Local guidelines","Unlikely","Unlikely","I don't know","I don't know","I don't know","Very unlikely","Agree","Agree","Strongly agree","Agree","Agree","Agree","Neutral","Neutral","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Not sure","Not sure","Agree","Agree","Agree","Not sure","No","Very interested","Yes"
"2024/04/25 11:41:05 PM GMT+4","I have read the above information and agree to participate in this research.","Female","27","Other Arab","Physician","Pediatric ","DHA","Government Hospital","3","20 to 49","Yes, 3 doses","Yes","Very confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;International guidelines;Journals and medical websites","Unlikely","Unlikely","Unlikely","Likely","Unlikely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","More positive","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Severity/lethality of the prevented disease;Incidence of disease;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Agree","Agree","Agree","Agree","Not sure","Agree","Agree","Strongly agree","Not sure","Strongly disagree","Yes","Interested","Yes"
"2024/04/25 11:41:08 PM GMT+4","I have read the above information and agree to participate in this research.","Female","27","Other Arab","Physician","Pediatrics ","DHA","Government Hospital","1","1 to 19","Yes, 2 doses","Yes","Very confident","Very confident","Very confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Unlikely","Unlikely","I don't know","Unlikely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","More positive","More negative","Few cases","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Severity/lethality of the prevented disease;Inclusion of vaccine in the official immunization schedule;Individual health-risk profile of the child","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","No","Neutral","Maybe"
"2024/04/25 11:50:05 PM GMT+4","I have read the above information and agree to participate in this research.","Female","30","Non-Arab","Physician","Pediatric ","DHA","Government Hospital","5","20 to 49","Yes, 2 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","International guidelines;Journals and medical websites","Likely","Unlikely","Unlikely","I don't know","I don't know","Unlikely","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Agree","More positive","Neutral","Few cases","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Severity/lethality of the prevented disease;Possibility to eradicate disease with vaccination;Inclusion of vaccine in the official immunization schedule;Vaccine safety","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Not sure","Agree","Strongly agree","Not sure","Disagree","No","Very interested","Yes"
"2024/04/25 11:56:25 PM GMT+4","I have read the above information and agree to participate in this research.","Male","30","Other Arab","Physician","Pediatrics ","DHA","Government Hospital","5","50 and above","Yes, 3 doses","No","Very confident","Very confident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","More positive","More positive","Few cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Incidence of disease;Personal experience with the disease;Inclusion of vaccine in the official immunization schedule;Vaccine safety;Vaccine effectiveness","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly agree","Strongly agree","Strongly agree","Not sure","Strongly disagree","Yes","Interested","Yes"
"2024/04/26 1:15:39 AM GMT+4","I have read the above information and agree to participate in this research.","Male","28","Other Arab","Physician","Internal Medicine ","MOHAP/EHS","Government Hospital","2","20 to 49","Yes, 2 doses","Yes","Somewhat confident","Somewhat confident","Somewhat confident","Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Very unlikely","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","More positive","More negative","Tens of cases","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Severity/lethality of the prevented disease;Vaccine safety;Vaccine effectiveness;Individual health-risk profile of the child","Strongly agree","Agree","Strongly agree","Strongly agree","Not sure","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","No","Interested","Yes"
"2024/04/26 1:16:28 AM GMT+4","I have read the above information and agree to participate in this research.","Female","30","Non-Arab","Physician","Pediatrics ","DHA","Government Hospital","1","50 and above","Yes, 3 doses","No","Somewhat confident","Somewhat confident","Somewhat confident","Medical experience;Colleagues experience and advice;Local guidelines;International guidelines;Journals and medical websites","Very unlikely","Very unlikely","Very unlikely","Very unlikely","I don't know","Very unlikely","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Neutral","Hundreds of cases and more","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","I do not directly deal with pediatric vaccines in my practice;Incidence of disease;Possibility to eradicate disease with vaccination;Vaccine safety;Individual health-risk profile of the child","Agree","Agree","Strongly agree","Agree","Not sure","Agree","Agree","Disagree","Agree","Not sure","No","Very interested","Yes"
"2024/04/26 1:27:01 AM GMT+4","I have read the above information and agree to participate in this research.","Female","26","Other Arab","Physician","Pediatric ","DHA","Government Hospital","3","20 to 49","Yes, 2 doses","No","Somewhat confident","Very confident","Very confident","Colleagues experience and advice","Very likely","Likely","Likely","Unlikely","Likely","I don't know","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Neutral","Neutral","Few cases","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Inclusion of vaccine in the official immunization schedule","Agree","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","Yes","Interested","Yes"
